id,session,motion.abs,motion.rel,DTI.include,fa,md,ad,rd
PH_001,F0,0.8148,0.4557,yes,0.458810052,0.000781837,0.001197344,0.000574083
PH_002,F0,1.0409,0.4596,yes,0.415008124,0.000847331,0.001250195,0.000645899
PH_003,F0,1.0971,0.4706,yes,0.429923392,0.000802671,0.001190042,0.000608985
PH_004,F0,1.7808,0.5464,yes,0.407202432,0.000834326,0.001217083,0.000642947
PH_005,F0,0.9432,0.522,yes,0.447702405,0.000793552,0.001198435,0.000591111
PH_006,F0,1.4148,0.5,yes,0.450523666,0.000811402,0.001227736,0.000603235
PH_007,F0,0.9951,0.5086,yes,0.42464139,0.00080045,0.00119095,0.0006052
PH_008,F0,0.9892,0.5015,yes,0.431325523,0.000814285,0.00121574,0.000613558
PH_009,F0,1.3219,0.467,yes,0.422538737,0.000822845,0.00121234,0.000628098
PH_101,F0,1.4945,0.5839,yes,0.389235204,0.000815464,0.001182684,0.000631854
PH_102,F0,1.8117,0.4704,yes,0.402142427,0.000808076,0.001185784,0.000619223
PH_103,F0,1.3431,0.4895,yes,0.423712658,0.000823537,0.001217479,0.000626566
PH_104,F0,0.9781,0.468,yes,0.454753997,0.000799307,0.001221787,0.000588066
PH_105,F0,1.2252,0.5174,yes,0.429429932,0.000811688,0.001204466,0.000615299
PH_106,F0,1.3166,0.4752,yes,0.418109809,0.000819854,0.001210524,0.000624519
PH_107,F0,1.5748,0.5604,yes,0.412340434,0.000813716,0.001190682,0.000625233
PH_108,F0,1.5796,0.5402,yes,0.418795187,0.000800087,0.001183426,0.000608418
PH_109,F0,1.3492,0.5348,yes,0.445388784,0.000808243,0.001218758,0.000602986
PH_110,F0,1.8267,0.477,yes,0.449823111,0.000804943,0.001219866,0.000597482
PH_111,F0,1.0023,0.507,yes,0.424745104,0.000811358,0.001197807,0.000618134
PH_001,F1,1.1003,0.4408,yes,0.458087397,0.000789989,0.001212219,0.000578874
PH_002,F1,1.041,0.5003,yes,0.413564577,0.000864071,0.001270073,0.00066107
PH_003,F1,1.7013,0.4772,yes,0.430620029,0.000794118,0.00118411,0.000599123
PH_004,F1,1.944,0.4974,yes,0.410191912,0.00082827,0.001208651,0.00063808
PH_005,F1,0.922,0.5202,yes,0.439462562,0.000798027,0.001201346,0.000596367
PH_006,F1,1.1556,0.5143,yes,0.451922175,0.000802114,0.001222184,0.000592078
PH_007,F1,3.4171,1.2715,no,0.421236332,0.000797917,0.001186478,0.000603636
PH_008,F1,1.008,0.4103,yes,0.425443102,0.000825235,0.001222194,0.000626756
PH_009,F1,1.3732,0.4782,yes,0.423295496,0.000812651,0.001209018,0.000614467
PH_101,F1,1.3745,0.4939,yes,0.394105165,0.000817438,0.001182655,0.000634829
PH_102,F1,1.76,0.5742,yes,0.385080085,0.000819587,0.001176543,0.00064111
PH_103,F1,1.4841,0.4771,yes,0.424708109,0.000831191,0.001227399,0.000633087
PH_104,F1,1.325,0.4527,yes,0.451373188,0.000810982,0.001232065,0.000600441
PH_105,F1,1.4261,0.455,yes,0.431106531,0.000805093,0.001197141,0.00060907
PH_106,F1,2.2127,0.5486,yes,0.419457027,0.000820199,0.001203803,0.000628397
PH_107,F1,1.1543,0.4681,yes,0.409335028,0.0008121,0.001190215,0.000623042
PH_108,F1,4.6272,0.8287,no,0.413472326,0.000825416,0.001200915,0.000637667
PH_109,F1,1.3604,0.402,yes,0.447049533,0.000804089,0.001217511,0.000597378
PH_110,F1,1.2699,0.4962,yes,0.450635423,0.000795459,0.001203737,0.00059132
PH_111,F1,1.3407,0.4616,yes,0.424086889,0.000813216,0.001205733,0.000616957
PH_001,F2,0.8098,0.4394,yes,0.458689661,0.000786806,0.001205106,0.000577656
PH_002,F2,0.9998,0.4615,yes,0.41702012,0.000850995,0.001254822,0.000649082
PH_004,F2,1.4815,0.4389,yes,0.40536373,0.000834495,0.001215369,0.000644058
PH_005,F2,0.9643,0.5343,yes,0.444752465,0.000791167,0.001194588,0.000589456
PH_006,F2,1.1527,0.5055,yes,0.450052944,0.000806312,0.001224026,0.000597455
PH_007,F2,2.882,0.9729,no,0.410779545,0.000821866,0.001210325,0.000627636
PH_008,F2,0.9552,0.4183,yes,0.42883764,0.000812843,0.001210188,0.000614171
PH_009,F2,1.2974,0.4768,yes,0.422808859,0.000812773,0.001202093,0.000618113
PH_101,F2,1.4219,0.5391,yes,0.382857511,0.000824385,0.00118492,0.000644118
PH_102,F2,1.7499,0.5506,yes,0.400800178,0.000812202,0.00118158,0.000627512
PH_103,F2,1.2478,0.5515,yes,0.425741257,0.000819913,0.001214461,0.000622638
PH_104,F2,1.0481,0.4264,yes,0.456564037,0.00079406,0.001212801,0.000584689
PH_105,F2,1.1943,0.4975,yes,0.428709371,0.000814989,0.001209456,0.000617755
PH_106,F2,1.4637,0.4662,yes,0.422063291,0.000812877,0.001204171,0.00061723
PH_107,F2,1.3311,0.485,yes,0.40840311,0.000810858,0.001183576,0.0006245
PH_108,F2,1.1419,0.4449,yes,0.420045063,0.000803358,0.001193904,0.000608085
PH_109,F2,1.2499,0.4222,yes,0.444519588,0.000804333,0.001214407,0.000599296
PH_110,F2,1.3809,0.456,yes,0.445737578,0.00079324,0.001208539,0.000585591
PH_111,F2,1.1394,0.4291,yes,0.424078716,0.000806228,0.001195346,0.000611668
